id,place,2014,population,lat,lon,p
1,New York,8491079,8175133,40.6643,-73.9385,81.75
2,Los Angeles,3928864,3792621,34.0194,-118.4108,37.93
3,Chicago,2722389,2695598,41.8376,-87.6818,26.96
4,Houston,2239558,2100263,29.7805,-95.3863,21
5,Philadelphia,1560297,1526006,40.0094,-75.1333,15.26
6,Phoenix,1537058,1445632,33.5722,-112.088,14.46
7,San Antonio,1436697,1327407,29.4724,-98.5251,13.27
8,San Diego,1381069,1307402,32.8153,-117.135,13.07
9,Dallas,1281047,1197816,32.7757,-96.7967,11.98
10,San Jose,1015785,945942,37.2969,-121.8193,9.46
11,Austin,912791,790390,30.3072,-97.756,7.9
12,Jacksonville,853382,821784,30.337,-81.6613,8.22
13,San Francisco,852469,805235,37.7751,-122.4193,8.05
14,Indianapolis,848788,820445,39.7767,-86.1459,8.2
15,Columbus,835957,787033,39.9848,-82.985,7.87
16,Fort Worth,812238,741206,32.7795,-97.3463,7.41
17,Charlotte,809958,731424,35.2087,-80.8307,7.31
18,Detroit,680250,713777,42.383,-83.1022,7.14
19,El Paso,679036,649121,31.8484,-106.427,6.49
20,Seattle,668342,608660,47.6205,-122.3509,6.09
21,Denver,663862,600158,39.7618,-104.8806,6
22,Washington,658893,601723,38.9041,-77.0171,6.02
23,Memphis,656861,646889,35.1035,-89.9785,6.47
24,Boston,655884,617594,42.332,-71.0202,6.18
25,Nashville,644014,601222,36.1718,-86.785,6.01
26,Baltimore,622793,620961,39.3002,-76.6105,6.21
27,Oklahoma City,620602,579999,35.4671,-97.5137,5.8
28,Portland,619360,583776,45.537,-122.65,5.84
29,Las Vegas,613599,583756,36.2277,-115.264,5.84
30,Louisville,612780,597337,38.1781,-85.6667,5.97
31,Milwaukee,599642,594833,43.0633,-87.9667,5.95
32,Albuquerque,557169,545852,35.1056,-106.6474,5.46
33,Tucson,527972,520116,32.1543,-110.8711,5.2
34,Fresno,515986,494665,36.7827,-119.7945,4.95
35,Sacramento,485199,466488,38.5666,-121.4686,4.66
36,Long Beach,473577,462257,33.8091,-118.1553,4.62
37,Kansas City,470800,459787,39.1252,-94.5511,4.6
38,Mesa,464704,439041,33.4019,-111.7174,4.39
39,Atlanta,456002,420003,33.7629,-84.4227,4.2
40,Virginia Beach,450980,437994,36.7793,-76.024,4.38
41,Omaha,446599,408958,41.2647,-96.0419,4.09
42,Colorado Springs,445830,416427,38.8673,-104.7607,4.16
43,Raleigh,439896,403892,35.8302,-78.6414,4.04
44,Miami,430332,399457,25.7752,-80.2086,3.99
45,Oakland,413775,390724,37.7699,-122.2256,3.91
46,Minneapolis,407207,382578,44.9633,-93.2683,3.83
47,Tulsa,399682,391906,36.1279,-95.9023,3.92
48,Cleveland,389521,396815,41.4781,-81.6795,3.97
49,Wichita,388413,382368,37.6907,-97.3427,3.82
50,New Orleans,384320,343829,30.0686,-89.939,3.44
51,Arlington,383204,365438,32.7007,-97.1247,3.65
52,Bakersfield,368759,347483,35.3212,-119.0183,3.47
53,Tampa,358699,335709,27.9701,-82.4797,3.36
54,Aurora,353108,325078,39.7082,-104.8235,3.25
55,Honolulu,350399,337256,21.3259,-157.8453,3.37
56,Anaheim,346997,336265,33.8555,-117.7601,3.36
57,Santa Ana,334909,324528,33.7365,-117.8826,3.25
58,Corpus Christi,320434,305215,27.7543,-97.1734,3.05
59,Riverside,319504,303871,33.9381,-117.3932,3.04
60,St. Louis,317419,319294,38.6357,-90.2446,3.19
61,Lexington,310797,295803,38.0402,-84.4584,2.96
62,Pittsburgh,305412,305704,40.4398,-79.9766,3.06
63,Stockton,302389,291707,37.9763,-121.3133,2.92
64,Anchorage,301010,291826,61.2176,-149.8953,2.92
65,Cincinnati,298165,296943,39.1399,-84.5064,2.97
66,Saint Paul,297640,285068,44.9489,-93.1039,2.85
67,Greensboro,282586,269666,36.0965,-79.8271,2.7
68,Toledo,281031,287208,41.6641,-83.5819,2.87
69,Newark,280579,277140,40.7242,-74.1726,2.77
70,Plano,278480,259841,33.0508,-96.7479,2.6
71,Henderson,277440,257729,36.0122,-115.0375,2.58
72,Lincoln,272996,258379,40.809,-96.6804,2.58
73,Orlando,262372,238300,28.4159,-81.2988,2.38
74,Jersey City,262146,247597,40.7114,-74.0648,2.48
75,Chula Vista,260988,243916,32.6277,-117.0152,2.44
76,Buffalo,258703,261310,42.8925,-78.8597,2.61
77,Fort Wayne,258522,253691,41.0882,-85.1439,2.54
78,Chandler,254276,236123,33.2829,-111.8549,2.36
79,St. Petersburg,253693,244769,27.762,-82.6441,2.45
80,Laredo,252309,236091,27.5477,-99.4869,2.36
81,Durham,251893,228330,35.981,-78.9056,2.28
82,Irvine,248531,212375,33.6784,-117.7713,2.12
83,Madison,245691,233209,43.0878,-89.4301,2.33
84,Norfolk,245428,242803,36.923,-76.2446,2.43
85,Lubbock,243839,229573,33.5665,-101.8867,2.3
86,Gilbert,239277,208453,33.3102,-111.7422,2.08
87,Winstonâ€“Salem,239269,229617,36.1033,-80.2606,2.3
88,Glendale,237517,226721,33.5331,-112.1899,2.27
89,Reno,236995,225221,39.4745,-119.7765,2.25
90,Hialeah,235563,224669,25.8699,-80.3029,2.25
91,Garland,235501,226876,32.9098,-96.6304,2.27
92,Chesapeake,233371,222209,36.6794,-76.3018,2.22
93,Irving,232406,216290,32.8577,-96.97,2.16
94,North Las Vegas,230788,216961,36.283,-115.0893,2.17
95,Scottsdale,230512,217385,33.6687,-111.8237,2.17
96,Baton Rouge,228895,229493,30.4485,-91.1259,2.29
97,Fremont,228758,214089,37.4944,-121.9411,2.14
98,Richmond,217853,204214,37.5314,-77.476,2.04
99,Boise,216282,205671,43.5985,-116.2311,2.06
100,San Bernardino,215213,209924,34.1393,-117.2953,2.1
101,New York,8491079,8175133,40.6643,-73.9385,81.75
102,Los Angeles,3928864,3792621,34.0194,-118.4108,37.93
103,Chicago,2722389,2695598,41.8376,-87.6818,26.96
104,Houston,2239558,2100263,29.7805,-95.3863,21
